GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
greenhouse,org.springframework.data,LocalFileStorage,130,0,14,0,36,0,11,0,4,0
greenhouse,org.springframework.data,FileData,21,0,0,0,8,0,4,0,4,0
greenhouse,org.springframework.data,S3FileStorage,112,0,0,0,26,0,4,0,4,0
greenhouse,com.springsource.greenhouse.database,DatabaseUpgrader,0,198,0,2,0,44,0,12,0,11
greenhouse,com.springsource.greenhouse.account,Gender,11,42,1,1,1,8,3,4,2,4
greenhouse,com.springsource.greenhouse.account,Account,4,77,0,2,1,18,1,11,1,10
greenhouse,com.springsource.greenhouse.account,JdbcAccountRepository,34,166,1,3,6,22,2,9,1,8
greenhouse,com.springsource.greenhouse.account,PictureSize,9,39,0,0,0,4,2,2,2,2
greenhouse,com.springsource.greenhouse.account,AccountMapper.new RowMapper() {...},3,46,1,1,0,6,1,3,0,3
greenhouse,com.springsource.greenhouse.account,GreenhousePasswordEncoder,100,0,0,0,17,0,8,0,8,0
greenhouse,com.springsource.greenhouse.account,UsernamePasswordAuthenticationProvider,57,0,0,0,15,0,4,0,4,0
greenhouse,com.springsource.greenhouse.account,GreenhousePasswordEncoder.Digester,40,0,0,0,11,0,2,0,2,0
greenhouse,com.springsource.greenhouse.account,Person,0,39,0,0,0,14,0,7,0,7
greenhouse,com.springsource.greenhouse.account,JdbcAccountRepository.PasswordProtectedAccount,0,22,0,2,0,7,0,3,0,2
greenhouse,com.springsource.greenhouse.account,SignInNotFoundException,3,7,0,0,1,3,1,1,1,1
greenhouse,com.springsource.greenhouse.account,ProfileReference,2,28,2,2,0,3,2,2,0,2
greenhouse,com.springsource.greenhouse.account,JdbcAccountRepository.new RowMapper() {...},0,21,0,0,0,3,0,2,0,2
greenhouse,com.springsource.greenhouse.account,AccountUtils,21,13,4,0,7,3,4,2,2,2
greenhouse,com.springsource.greenhouse.account,PictureUrlMapper,0,37,0,0,0,7,0,3,0,3
greenhouse,com.springsource.greenhouse.account,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
greenhouse,com.springsource.greenhouse.account,AccountException,5,4,0,0,2,2,1,1,1,1
greenhouse,com.springsource.greenhouse.account,EmailAlreadyOnFileException,3,7,0,0,1,3,1,1,1,1
greenhouse,com.springsource.greenhouse.account,PictureUrlFactory,38,52,3,3,4,11,4,6,1,6
greenhouse,com.springsource.greenhouse.account,AccountMapper,0,81,0,0,0,11,0,5,0,5
greenhouse,com.springsource.greenhouse.validation,ConfirmValidator,0,71,2,4,0,16,2,4,0,3
greenhouse,com.springsource.greenhouse.home,GlobalExceptionResolver,74,0,4,0,16,0,6,0,4,0
greenhouse,com.springsource.greenhouse.home,DateTimeZoneHandlerInterceptor,53,0,6,0,20,0,9,0,6,0
greenhouse,com.springsource.greenhouse.home,HomeController,9,0,2,0,2,0,3,0,2,0
greenhouse,com.springsource.greenhouse.home,UserLocationHandlerInterceptor,27,0,4,0,8,0,6,0,4,0
greenhouse,org.springframework.jdbc.core,JoinRowMapper,11,72,3,5,1,21,2,7,0,5
greenhouse,org.springframework.jdbc.core,JoinRowMapper.new RowMapper() {...},0,11,0,0,0,2,0,2,0,2
greenhouse,org.springframework.jdbc.core,JoinRowMapper.new ResultSetExtractor() {...},0,15,0,0,0,2,0,2,0,2
greenhouse,com.springsource.greenhouse.config,FileStoreConfig,3,0,0,0,1,0,1,0,1,0
greenhouse,com.springsource.greenhouse.config,FileStoreConfig.Embedded,29,0,0,0,5,0,2,0,2,0
greenhouse,com.springsource.greenhouse.config,SecurityConfig,3,0,0,0,1,0,1,0,1,0
greenhouse,com.springsource.greenhouse.config,IntegrationConfig,3,0,0,0,1,0,1,0,1,0
greenhouse,com.springsource.greenhouse.config,DataConfig.Embedded,30,0,0,0,8,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,SocialConfig,151,0,6,0,21,0,11,0,8,0
greenhouse,com.springsource.greenhouse.config,WebConfig.AccountHandlerMethodArgumentResolver,23,0,4,0,4,0,5,0,3,0
greenhouse,com.springsource.greenhouse.config,WebConfig.LocationHandlerMethodArgumentResolver,13,0,0,0,3,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,WebConfig.DateTimeZoneHandlerMethodArgumentResolver,11,0,0,0,3,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,KeyValueConfig,36,0,0,0,7,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,FileStoreConfig.Standard,16,0,0,0,2,0,2,0,2,0
greenhouse,com.springsource.greenhouse.config,SecurityConfig.Embedded,7,0,0,0,3,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,WebConfig,184,0,4,0,38,0,12,0,10,0
greenhouse,com.springsource.greenhouse.config,ComponentConfig.Standard,3,0,0,0,1,0,1,0,1,0
greenhouse,com.springsource.greenhouse.config,TaskConfig,10,0,0,0,3,0,3,0,3,0
greenhouse,com.springsource.greenhouse.config,SecurityConfig.Standard,22,0,0,0,4,0,4,0,4,0
