PROJECT,CLASS,COUPLING
Spring-Integration-in-Action,JmsTemplateDemo,3
Spring-Integration-in-Action,Exclaimer,0
Spring-Integration-in-Action,DirectJmsDemo,9
Spring-Integration-in-Action,MessageListenerContainerDemo,7
Spring-Integration-in-Action,Greeter,0
Spring-Integration-in-Action,ChannelAdapterDemo,4
Spring-Integration-in-Action,GatewayDemo,4
Spring-Integration-in-Action,MessageDrivenPojoDemo,2
Spring-Integration-in-Action,FlightDelayEvent,1
Spring-Integration-in-Action,FlightStatusNotificationPublisher,1
Spring-Integration-in-Action,FlightScheduler,1
Spring-Integration-in-Action,Equipment,0
Spring-Integration-in-Action,Flight,4
Spring-Integration-in-Action,Passenger,1
Spring-Integration-in-Action,FlightStatusEvent,0
Spring-Integration-in-Action,FlightStatus,0
Spring-Integration-in-Action,NotificationDemo,3
Spring-Integration-in-Action,SimpleFlightStatusService,6
Spring-Integration-in-Action,FrequentFlyerService,1
Spring-Integration-in-Action,Airport,0
Spring-Integration-in-Action,PassengerProfileEnricher,5
Spring-Integration-in-Action,Crew,0
Spring-Integration-in-Action,EmailHeaderEnricher,6
Spring-Integration-in-Action,FlightEventTransformer,5
Spring-Integration-in-Action,Profile,0
Spring-Integration-in-Action,FlightStatusService,2
Spring-Integration-in-Action,FlightDelayEmailGenerator,2
Spring-Integration-in-Action,Seat,0
Spring-Integration-in-Action,ExpressionBasedHeaderEnricherTests,9
Spring-Integration-in-Action,StubFlightScheduler,2
Spring-Integration-in-Action,StubFrequentFlyerService,2
Spring-Integration-in-Action,FlightStatusPublisherTests,9
Spring-Integration-in-Action,StubMailSender,5
Spring-Integration-in-Action,ChainTests,9
Spring-Integration-in-Action,FlightDelayTransformerIntegrationTests,8
Spring-Integration-in-Action,PassengerProfileEnricherTest,4
Spring-Integration-in-Action,EmailHeaderEnricherTests,9
Spring-Integration-in-Action,CustomerPriorityComparator,1
Spring-Integration-in-Action,StubEmailConfirmationService,7
Spring-Integration-in-Action,SeatConfirmation,2
Spring-Integration-in-Action,Booking,0
Spring-Integration-in-Action,ChargedBooking,2
Spring-Integration-in-Action,Email,0
Spring-Integration-in-Action,ChannelAuditor,6
Spring-Integration-in-Action,AuditRecord,0
Spring-Integration-in-Action,SeatAvailabilityService,4
Spring-Integration-in-Action,AuditService,1
Spring-Integration-in-Action,BillForBookingService,4
Spring-Integration-in-Action,Seat,0
Spring-Integration-in-Action,ChannelsBufferedTest,9
Spring-Integration-in-Action,ChannelSelectorTest,10
Spring-Integration-in-Action,AllChannelsDirectTest,9
Spring-Integration-in-Action,ChannelsBridgeTest,9
Spring-Integration-in-Action,ChannelsPriorityTest,10
Spring-Integration-in-Action,ChannelInterceptorTest,12
Spring-Integration-in-Action,CarType,0
Spring-Integration-in-Action,CarCriteria,1
Spring-Integration-in-Action,CarRentalBooking,2
Spring-Integration-in-Action,CarRentalQuote,2
Spring-Integration-in-Action,CarRental,1
Spring-Integration-in-Action,FlightSchedule,2
Spring-Integration-in-Action,Flight,2
Spring-Integration-in-Action,FlightBooking,2
Spring-Integration-in-Action,FlightQuote,2
Spring-Integration-in-Action,FlightSeatClass,0
Spring-Integration-in-Action,FlightCriteria,1
Spring-Integration-in-Action,CancellationsService,2
Spring-Integration-in-Action,CancellationConfirmation,0
Spring-Integration-in-Action,StubCancellationsService,3
Spring-Integration-in-Action,CancellationRequest,1
Spring-Integration-in-Action,TripRepository,2
Spring-Integration-in-Action,Leg,4
Spring-Integration-in-Action,BookedTrip,2
Spring-Integration-in-Action,TripQuoteRequest,1
Spring-Integration-in-Action,LegQuoteCommand,5
Spring-Integration-in-Action,CreateTripCommand,1
Spring-Integration-in-Action,Trip,1
Spring-Integration-in-Action,BookedLeg,4
Spring-Integration-in-Action,User,0
Spring-Integration-in-Action,FinancialAmount,1
Spring-Integration-in-Action,TripNotification,1
Spring-Integration-in-Action,SmsNotifiable,2
Spring-Integration-in-Action,Priority,0
Spring-Integration-in-Action,Notifiable,1
Spring-Integration-in-Action,FlightNotification,3
Spring-Integration-in-Action,Location,2
Spring-Integration-in-Action,Command,0
Spring-Integration-in-Action,JodaDateTimeAdapter,1
Spring-Integration-in-Action,HotelCriteria,1
Spring-Integration-in-Action,Hotel,1
Spring-Integration-in-Action,RoomType,0
Spring-Integration-in-Action,HotelQuote,2
Spring-Integration-in-Action,HotelBooking,2
Spring-Integration-in-Action,Invoice,1
Spring-Integration-in-Action,PaypalPayment,1
Spring-Integration-in-Action,PaymentSettlement,1
Spring-Integration-in-Action,PaymentManager,3
Spring-Integration-in-Action,CreditCardPayment,2
Spring-Integration-in-Action,CreditCardType,0
Spring-Integration-in-Action,LegMarshallingTest,4
Spring-Integration-in-Action,LegQuoteMarshallingTest,12
Spring-Integration-in-Action,CancellationsGateway,0
Spring-Integration-in-Action,CancellationRequestFilter,2
Spring-Integration-in-Action,LegQuoteAggregator,2
Spring-Integration-in-Action,RelatedTripsHeaderEnricher,4
Spring-Integration-in-Action,FlightToTripNotificationsSplitter,5
Spring-Integration-in-Action,NotificationsRouter,1
Spring-Integration-in-Action,PaymentSettlementRouter,4
Spring-Integration-in-Action,FlightNotificationsTest,17
Spring-Integration-in-Action,StubMailSender,5
Spring-Integration-in-Action,LegQuoteIntegrationTest,21
Spring-Integration-in-Action,FlightToTripNotificationsSplitterTest,5
Spring-Integration-in-Action,CancellationsWithExceptionTest,10
Spring-Integration-in-Action,PaymentRoutingTest,10
Spring-Integration-in-Action,CancellationsTest,10
Spring-Integration-in-Action,CancellationsWithNotificationTest,11
Spring-Integration-in-Action,BookingHeaderTests,11
Spring-Integration-in-Action,WeatherTest,9
Spring-Integration-in-Action,TripCommandsTest,13
Spring-Integration-in-Action,FlightNotificationsSpelTest,17
Spring-Integration-in-Action,WireTapDemo,3
Spring-Integration-in-Action,DebitService,1
Spring-Integration-in-Action,Debit,0
Spring-Integration-in-Action,JmxDemo,2
Spring-Integration-in-Action,HistoryDemo2,0
Spring-Integration-in-Action,HistoryDemo1,0
Spring-Integration-in-Action,NumberHolder,3
Spring-Integration-in-Action,FilePoller,1
Spring-Integration-in-Action,GroovyControlBusDemo,7
Spring-Integration-in-Action,ControlBusDemo,7
Spring-Integration-in-Action,HelloService,0
Spring-Integration-in-Action,HelloWorldExample,3
Spring-Integration-in-Action,MyHelloService,1
Spring-Integration-in-Action,HelloService,0
Spring-Integration-in-Action,HelloWorldExample,2
Spring-Integration-in-Action,MyHelloService,1
Spring-Integration-in-Action,RefuseWrittenByThisProcess,2
Spring-Integration-in-Action,ChangeFileNameGenerator,3
Spring-Integration-in-Action,TextChange,0
Spring-Integration-in-Action,EditableText,1
Spring-Integration-in-Action,TextChanges,4
Spring-Integration-in-Action,ExchangerIntegrationTest,11
Spring-Integration-in-Action,ChangeFileNameGeneratorTest,4
Spring-Integration-in-Action,EditableTextTest,4
Spring-Integration-in-Action,Cupboard,3
Spring-Integration-in-Action,Ingredient,6
Spring-Integration-in-Action,AmountConverter,6
Spring-Integration-in-Action,Recipe,7
Spring-Integration-in-Action,Meal,2
Spring-Integration-in-Action,Product,2
Spring-Integration-in-Action,GroceryBag,1
Spring-Integration-in-Action,ShoppingList,2
Spring-Integration-in-Action,Vegetable,3
Spring-Integration-in-Action,Meat,3
Spring-Integration-in-Action,Grocery,3
Spring-Integration-in-Action,Amount,2
Spring-Integration-in-Action,Cook,10
Spring-Integration-in-Action,GreenGrocer,5
Spring-Integration-in-Action,Supermarket,5
Spring-Integration-in-Action,Butcher,5
Spring-Integration-in-Action,ShoppingListWriter,5
Spring-Integration-in-Action,ShoppingTest,11
Spring-Integration-in-Action,TimedPollableChannel,3
Spring-Integration-in-Action,EndToEndIntegrationTest,9
Spring-Integration-in-Action,RecipeTest,4
Spring-Integration-in-Action,MealTest,4
Spring-Integration-in-Action,RecipeObjectMother,2
Spring-Integration-in-Action,DomainTest,6
Spring-Integration-in-Action,KitchenTest,10
Spring-Integration-in-Action,CookTest,10
Spring-Integration-in-Action,RecipeReadingTest,7
Spring-Integration-in-Action,RecipeSplitterTest,9
Spring-Integration-in-Action,TripQuoteRequestProcessor,5
Spring-Integration-in-Action,OkResponse,0
Spring-Integration-in-Action,SoapTripTestClient,7
Spring-Integration-in-Action,MealPreferenceRequestTransformer,2
Spring-Integration-in-Action,MealPreference,0
Spring-Integration-in-Action,SimpleBookingDao,2
Spring-Integration-in-Action,BookingDao,1
Spring-Integration-in-Action,Booking,0
Spring-Integration-in-Action,BookingReportingService,1
Spring-Integration-in-Action,BookingServiceWithInjection,6
Spring-Integration-in-Action,BookingServiceWithStrongCoupling,7
Spring-Integration-in-Action,BookingService,3
Spring-Integration-in-Action,RunBookingServiceTest,6
Spring-Integration-in-Action,SupplyInput,1
Spring-Integration-in-Action,Counter,2
Spring-Integration-in-Action,PaintShop,3
Spring-Integration-in-Action,AssembledCar,0
Spring-Integration-in-Action,FinishedCar,0
Spring-Integration-in-Action,PieceKit,0
Spring-Integration-in-Action,AssemblyLine,3
Spring-Integration-in-Action,PaintShopDirectTests,7
Spring-Integration-in-Action,PaintShopConcurrentTests,7
Spring-Integration-in-Action,CronPollerTests,3
Spring-Integration-in-Action,AdvancedPollerTests,3
Spring-Integration-in-Action,StubService,4
Spring-Integration-in-Action,StubFilter,2
Spring-Integration-in-Action,PollerDefaultAndCustomTest,3
Spring-Integration-in-Action,StubComparator,0
Spring-Integration-in-Action,SearchToLog,0
Spring-Integration-in-Action,SearchResultAnalzyer,0
Spring-Integration-in-Action,SearchAnalysis,0
Spring-Integration-in-Action,TimelineToLog,0
Spring-Integration-in-Action,Notification,0
Spring-Integration-in-Action,Payment,0
Spring-Integration-in-Action,ExecutionsToMailTransformer,3
Spring-Integration-in-Action,StubJavaMailSender,4
Spring-Integration-in-Action,PaymentFieldSetMapper,4
Spring-Integration-in-Action,FileMessageToJobRequest,6
Spring-Integration-in-Action,JobRestart,5
Spring-Integration-in-Action,JobExecutionsRouter,2
Spring-Integration-in-Action,PaymentWriter,5
Spring-Integration-in-Action,PaymentChunkListener,5
Spring-Integration-in-Action,Account,0
Spring-Integration-in-Action,BatchTest,10
aws-maven,AuthenticationInfoAWSCredentialsProviderChain,2
aws-maven,TransferListenerSupport,3
aws-maven,StandardTransferProgress,4
aws-maven,S3Utils,5
aws-maven,StandardTransferListenerSupport,6
aws-maven,TransferProgress,1
aws-maven,TransferProgressFileInputStream,2
aws-maven,AuthenticationInfoAWSCredentials,2
aws-maven,Region,1
aws-maven,StandardSessionListenerSupport,4
aws-maven,SessionListenerSupport,1
aws-maven,SimpleStorageServiceWagon,20
aws-maven,AuthenticationInfoAWSCredentialsProvider,3
aws-maven,IoUtils,1
aws-maven,AbstractWagon,14
aws-maven,TransferProgressFileOutputStream,2
aws-maven,NullProtectingProxyInfoProvider,3
aws-maven,TransferProgressFileOutputStreamTest,5
aws-maven,StandardTransferListenerSupportTest,8
aws-maven,SimpleStorageServiceWagonIntegrationTest,20
aws-maven,TransferProgressFileInputStreamTest,5
aws-maven,AuthenticationInfoAwsCredentialsTest,3
aws-maven,NullProtectingProxyInfoProviderTest,3
aws-maven,StubTransferProgress,2
aws-maven,StandardSessionListenerSupportTest,6
aws-maven,TransferProgressTest,5
aws-maven,S3UtilsTest,5
aws-maven,SessionEventMatcher,5
aws-maven,ListObjectsRequestMatcher,5
aws-maven,Matchers,3
aws-maven,TransferEventMatcher,5
aws-maven,AbstractWagonTest,17
aws-maven,RegionTest,1
eclipse-integration-commons,ServerHandlerCallback,1
eclipse-integration-commons,ConfigurableExtension,5
eclipse-integration-commons,IConfigurationContext,1
eclipse-integration-commons,WorkspaceLocationConfiguratorParticipant,10
eclipse-integration-commons,WorkspaceConfiguratorParticipant,4
eclipse-integration-commons,ServerHandler,27
eclipse-integration-commons,ServerConfigurator,31
eclipse-integration-commons,ConfigurableServerExtension,14
eclipse-integration-commons,ServerDescriptor,4
eclipse-integration-commons,ServerWorkspaceConfigurator,11
eclipse-integration-commons,IConfigurator,0
eclipse-integration-commons,ParticipantDescriptor,3
eclipse-integration-commons,ConfiguratorAction,4
eclipse-integration-commons,ConfiguratorPreferencesPage,37
eclipse-integration-commons,Configurator,8
eclipse-integration-commons,PreferenceInitializer,3
eclipse-integration-commons,InstallableItem,12
eclipse-integration-commons,Activator,11
eclipse-integration-commons,ConfiguratorImporter,26
eclipse-integration-commons,AbstractInstallOperation,2
eclipse-integration-commons,ChmodOperation,5
eclipse-integration-commons,CopyOperation,6
eclipse-integration-commons,HealthCheckSupport,13
eclipse-integration-commons,AuthorizationHeaderProvider,0
eclipse-integration-commons,CfClientSideCart,12
eclipse-integration-commons,BuildpackSupport,10
eclipse-integration-commons,SshHost,0
eclipse-integration-commons,CloudInfoV2,5
eclipse-integration-commons,SshClientSupportV1,14
eclipse-integration-commons,SshClientSupport,1
eclipse-integration-commons,RestUtils,11
eclipse-integration-commons,CloudFoundryClientActivator,3
eclipse-integration-commons,RefreshTokenUtil,3
eclipse-integration-commons,FrameworkUIActivator,5
eclipse-integration-commons,SelectionUtils,18
eclipse-integration-commons,ProjectFilter,2
eclipse-integration-commons,Icon,1
eclipse-integration-commons,IIcon,0
eclipse-integration-commons,IconManager,6
eclipse-integration-commons,GenericWizardCommandListPage,23
eclipse-integration-commons,GenericCommandWizard,19
eclipse-integration-commons,GenericWizardCommandParametersPage,33
eclipse-integration-commons,AbstractGenericWizardPage,15
