PROJECT,CLASS,COMPLEXITY
spring-data-examples,BasicConfiguration,0
spring-data-examples,User,1
spring-data-examples,ConverterConfiguration,4
spring-data-examples,ConverterConfiguration,4
spring-data-examples,ConverterConfiguration,4
spring-data-examples,ConverterConfiguration,4
spring-data-examples,ProjectionConfiguration,0
spring-data-examples,CassandraConfiguration,0
spring-data-examples,PersonRepository,2
spring-data-examples,CassandraVersion,1
spring-data-examples,RequiresCassandraKeyspace,10
spring-data-examples,ApplicationConfiguration,4
spring-data-examples,Conference,2
spring-data-examples,Application,4
spring-data-examples,Customer,1
spring-data-examples,AuditingConfiguration,1
spring-data-examples,AuditorAwareImpl,2
spring-data-examples,CachingConfiguration,1
spring-data-examples,User,8
spring-data-examples,UserRepositoryImplJdbc,2
spring-data-examples,UserRepositoryImplJdbc,2
spring-data-examples,User,8
spring-data-examples,UserRepositoryImpl,2
spring-data-examples,ExtendedJpaRepository,2
spring-data-examples,Customer,1
spring-data-examples,User,8
spring-data-examples,ApplicationConfiguration,2
spring-data-examples,CustomerRepository,2
spring-data-examples,Customer,1
spring-data-examples,Customer,2
spring-data-examples,Customer,2
spring-data-examples,CustomerConfig,3
spring-data-examples,Order,2
spring-data-examples,OrderConfig,3
spring-data-examples,Application,2
spring-data-examples,DataInitializer,2
spring-data-examples,SpecialUser,1
spring-data-examples,BusinessObject,2
spring-data-examples,SecurityConfiguration,1
spring-data-examples,User,1
spring-data-examples,CustomerServiceImpl,6
spring-data-examples,AccountServiceImpl,3
spring-data-examples,Account,3
spring-data-examples,Customer,3
spring-data-examples,LineItem,1
spring-data-examples,Order,2
spring-data-examples,OrderRepositoryImpl,1
spring-data-examples,ApplicationConfiguration,4
spring-data-examples,Customer,1
spring-data-examples,ApplicationConfiguration,1
spring-data-examples,ApplicationConfiguration,1
spring-data-examples,ApplicationConfiguration,1
spring-data-examples,BlogPost,1
spring-data-examples,MongoTestConfiguration,2
spring-data-examples,Customer,2
spring-data-examples,LineItem,1
spring-data-examples,Order,2
spring-data-examples,Actor,1
spring-data-examples,Actor,1
spring-data-examples,RedisSentinelApplication,10
