PROJECT,TESTCASE,CLASS,TIME
spring-data-examples,example.springdata.cassandra.basic.BasicUserRepositoryTests,example.springdata.cassandra.basic.BasicUserRepositoryTests,0
spring-data-examples,example.springdata.cassandra.basic.CassandraOperationsIntegrationTests,example.springdata.cassandra.basic.CassandraOperationsIntegrationTests,0
spring-data-examples,example.springdata.cassandra.convert.ConversionIntegrationTests,example.springdata.cassandra.convert.ConversionIntegrationTests,0
spring-data-examples,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,0
spring-data-examples,example.springdata.cassandra.java8.Java8IntegrationTests,example.springdata.cassandra.java8.Java8IntegrationTests,0
spring-data-examples,example.springdata.cassandra.java8.Jsr310IntegrationTests,example.springdata.cassandra.java8.Jsr310IntegrationTests,0
spring-data-examples,geoSpatialSearch,example.springdata.elasticsearch.conference.ElasticsearchOperationsTest,"0,357"
spring-data-examples,textSearch,example.springdata.elasticsearch.conference.ElasticsearchOperationsTest,"0,035"
spring-data-examples,createsCustomer,example.springdata.jpa.eclipselink.CustomerRepositoryIntegrationTests,"0,044"
spring-data-examples,auditEntityCreation,example.springdata.jpa.auditing.AuditableUserSample,"0,025"
spring-data-examples,executingFinders,example.springdata.jpa.basics.BasicFactorySetup,"0,038"
spring-data-examples,savingUsers,example.springdata.jpa.basics.BasicSample,"0,034"
spring-data-examples,saveAndFindByLastNameAndFindByUserName,example.springdata.jpa.custom.UserRepositoryCustomizationTests,"0,054"
spring-data-examples,testCustomMethod,example.springdata.jpa.custom.UserRepositoryCustomizationTests,"0,007"
spring-data-examples,testInsert,example.springdata.jpa.custom.UserRepositoryCustomizationTests,"0,007"
spring-data-examples,invokesCustomMethod,example.springdata.jpa.customall.UserRepositoryCustomizationTests,"0,003"
spring-data-examples,supportsProjectionInCombinationWithPagination,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,017"
spring-data-examples,projectsDynamically,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,008"
spring-data-examples,projectIndividualInstance,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,009"
spring-data-examples,projectsIndividualDynamically,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,012"
spring-data-examples,projectsToDto,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,007"
spring-data-examples,projectsMapIntoInterface,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,008"
spring-data-examples,appliesProjectionToOptional,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,007"
spring-data-examples,projectsDtoUsingConstructorExpression,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,005"
spring-data-examples,projectsEntityIntoInterface,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,006"
spring-data-examples,removeByLastname,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,02"
spring-data-examples,findByFirstnameOrLastname,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,005"
spring-data-examples,findSavedUserById,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,004"
spring-data-examples,useOptionalAsReturnAndParameterType,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,008"
spring-data-examples,useSliceToLoadContent,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,019"
spring-data-examples,findTop2ByWithSort,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,013"
spring-data-examples,findSavedUserByLastname,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,006"
spring-data-examples,findByFirstnameOrLastnameUsingSpEL,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,027"
spring-data-examples,findFirst2ByOrderByLastnameAsc,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,007"
spring-data-examples,foo,example.springdata.jpa.interceptors.InterceptorIntegrationTest,"0,045"
spring-data-examples,providesFindOneWithOptional,example.springdata.jpa.java8.Java8IntegrationTests,"0,071"
spring-data-examples,invokesDefaultMethod,example.springdata.jpa.java8.Java8IntegrationTests,"0,029"
spring-data-examples,useJava8StreamsWithCustomQuery,example.springdata.jpa.java8.Java8IntegrationTests,"0,019"
spring-data-examples,useJava8StreamsWithDerivedQuery,example.springdata.jpa.java8.Java8IntegrationTests,"0,011"
spring-data-examples,supportsCompletableFuturesAsReturnTypeWrapper,example.springdata.jpa.java8.Java8IntegrationTests,"0,512"
spring-data-examples,auditingSetsJdk8DateTimeTypes,example.springdata.jpa.java8.Java8IntegrationTests,"0,008"
spring-data-examples,invokeDerivedStoredProcedure,example.springdata.jpa.storedprocedures.UserRepositoryIntegrationTests,"0,042"
