PROJECT,CLASS,COMPLEXITY,COUPLING
spring-data-examples,BasicConfiguration,0,8
spring-data-examples,User,1,11
spring-data-examples,ConverterConfiguration,4,14
spring-data-examples,ProjectionConfiguration,0,5
spring-data-examples,CassandraConfiguration,0,5
spring-data-examples,PersonRepository,2,3
spring-data-examples,CassandraVersion,1,5
spring-data-examples,RequiresCassandraKeyspace,10,9
spring-data-examples,ApplicationConfiguration,4,8
spring-data-examples,Conference,2,6
spring-data-examples,Application,4,8
spring-data-examples,Customer,1,3
spring-data-examples,AuditingConfiguration,1,4
spring-data-examples,AuditorAwareImpl,2,3
spring-data-examples,CachingConfiguration,1,7
spring-data-examples,User,8,3
spring-data-examples,UserRepositoryImplJdbc,2,8
spring-data-examples,UserRepositoryImpl,2,5
spring-data-examples,ExtendedJpaRepository,2,7
spring-data-examples,CustomerRepository,2,2
spring-data-examples,Customer,2,5
spring-data-examples,CustomerConfig,3,8
spring-data-examples,Order,2,11
spring-data-examples,OrderConfig,3,8
spring-data-examples,DataInitializer,2,11
spring-data-examples,SpecialUser,1,4
spring-data-examples,BusinessObject,2,7
spring-data-examples,SecurityConfiguration,1,4
spring-data-examples,CustomerServiceImpl,6,7
spring-data-examples,AccountServiceImpl,3,8
spring-data-examples,Account,3,6
spring-data-examples,Customer,3,10
spring-data-examples,LineItem,1,4
spring-data-examples,OrderRepositoryImpl,1,8
spring-data-examples,BlogPost,1,5
spring-data-examples,MongoTestConfiguration,2,8
spring-data-examples,Actor,1,8
spring-data-examples,RedisSentinelApplication,10,12
spring-data-examples,Person,1,4
spring-data-examples,RequiresRedisSentinel,24,10
spring-data-examples,EmbeddedRedisServer,11,3
spring-data-examples,RequiresRedisServer,8,3
spring-data-examples,Address,2,4
spring-data-examples,Order,1,7
spring-data-examples,Employee,1,6
spring-data-examples,Item,1,5
spring-data-examples,SecurityUtils,1,0
spring-data-examples,Store,0,3
spring-data-examples,StoreRepository,1,4
spring-data-examples,StoreInitializer,5,10
spring-data-examples,StoresController,2,16
spring-data-examples,UserEntityLookup,2,8
spring-data-examples,SpringDataRestCustomization,1,3
spring-data-examples,ProductRepositoryImpl,1,5
spring-data-examples,ManagedProduct,1,4
spring-data-examples,RequiresSolrServer,10,7
spring-data-examples,UserManagement,3,12
spring-data-examples,Username,4,2
spring-data-examples,Password,5,6
spring-data-examples,User,3,5
spring-data-examples,UserController,4,19
spring-data-examples,UserInitializer,5,7
spring-data-examples,UserRepository,1,4
spring-retry,PatternMatcher,38,2
spring-retry,BinaryExceptionClassifier,13,1
spring-retry,BackToBackPatternClassifier,5,7
spring-retry,ClassifierAdapter,8,4
spring-retry,ClassifierSupport,2,3
spring-retry,PatternMatchingClassifier,4,3
spring-retry,SubclassClassifier,11,3
spring-retry,AnnotationMethodResolver,6,1
spring-retry,SimpleMethodInvoker,15,3
spring-retry,MethodInvokerUtils,26,4
spring-retry,RetryConfiguration,16,24
spring-retry,AnnotationAwareRetryOperationsInterceptor,43,30
spring-retry,RecoverAnnotationRecoveryHandler,17,6
spring-retry,ObjectWaitSleeper,1,1
spring-retry,UniformRandomBackOffPolicy,12,5
spring-retry,ExponentialBackOffPolicy,18,8
spring-retry,FixedBackOffPolicy,8,5
spring-retry,BackOffInterruptedException,2,1
spring-retry,ExponentialRandomBackOffPolicy,2,6
spring-retry,NoBackOffPolicy,1,1
spring-retry,StatelessBackOffPolicy,2,4
spring-retry,ThreadWaitSleeper,1,1
spring-retry,RetryContextSupport,9,2
spring-retry,RetryInterceptorBuilder,11,19
spring-retry,StatefulRetryOperationsInterceptor,16,16
spring-retry,RetryOperationsInterceptor,11,10
spring-retry,FixedKeyGenerator,2,1
spring-retry,RetryListenerSupport,3,5
spring-retry,ExhaustedRetryException,2,1
spring-retry,RetryException,2,1
spring-retry,TerminatedRetryException,2,1
spring-retry,RetryCacheCapacityExceededException,2,1
spring-retry,TimeoutRetryPolicy,6,4
spring-retry,SimpleRetryPolicy,12,5
spring-retry,CircuitBreakerRetryPolicy,8,5
spring-retry,SoftReferenceMapRetryContextCache,10,3
spring-retry,CompositeRetryPolicy,16,4
spring-retry,AlwaysRetryPolicy,1,2
spring-retry,ExceptionClassifierRetryPolicy,6,7
spring-retry,MapRetryContextCache,8,3
spring-retry,NeverRetryPolicy,4,4
spring-retry,DefaultRetryStatisticsFactory,2,3
spring-retry,DefaultStatisticsRepository,10,4
spring-retry,ExponentialAverageRetryStatistics,15,2
spring-retry,StatisticsListener,19,8
spring-retry,DefaultRetryStatistics,15,3
spring-retry,RetrySimulation,7,2
spring-retry,RetryTemplate,70,17
spring-retry,DefaultRetryState,9,3
spring-retry,RetrySynchronizationManager,5,1
spring-retry,RetrySimulator,6,10
aws-maven,AuthenticationInfoAWSCredentialsProvider,4,3
aws-maven,AuthenticationInfoAWSCredentialsProviderChain,1,2
aws-maven,AuthenticationInfoAWSCredentials,3,2
aws-maven,SimpleStorageServiceWagon,28,20
aws-maven,IoUtils,6,1
aws-maven,S3Utils,8,5
aws-maven,AbstractWagon,39,14
aws-maven,NullProtectingProxyInfoProvider,5,3
aws-maven,Region,5,1
aws-maven,StandardSessionListenerSupport,12,4
aws-maven,StandardTransferListenerSupport,10,6
aws-maven,StandardTransferProgress,2,4
aws-maven,TransferProgressFileInputStream,5,2
aws-maven,TransferProgressFileOutputStream,5,2
spring-data-graph,Indexed,0,2
spring-data-graph,ConfigurationCheck,11,4
spring-data-graph,DataGraphBeanDefinitionParser,11,10
spring-data-graph,DataGraphNamespaceHandler,1,18
spring-data-graph,Neo4jConfiguration,25,48
spring-data-graph,NullTransactionManager,16,3
spring-data-graph,DefaultConverter,28,12
spring-data-graph,QueryResultBuilder,20,14
spring-data-graph,ResultConverter,1,4
spring-data-graph,Direction,2,1
spring-data-graph,UncategorizedGraphStoreException,1,1
spring-data-graph,AbstractNodeRelationshipFieldAccessor,19,17
spring-data-graph,ConvertingNodePropertyFieldAccessorFactory,3,10
spring-data-graph,DefaultEntityState,24,13
spring-data-graph,DelegatingFieldAccessorFactory,17,24
spring-data-graph,DetachedEntityState,51,12
spring-data-graph,DynamicPropertiesContainer,12,2
spring-data-graph,DynamicPropertiesFieldAccessorFactory,3,15
spring-data-graph,FieldAccessorFactoryProviders,6,17
spring-data-graph,IdFieldAccessorFactory,2,6
spring-data-graph,IndexingPropertyFieldAccessorListenerFactory,4,20
spring-data-graph,JpaIdFieldAccessListenerFactory,2,7
spring-data-graph,ManagedFieldAccessorSet,21,10
spring-data-graph,ManagedPrefixedDynamicProperties,13,13
spring-data-graph,Neo4jConversionServiceFactoryBean,4,15
spring-data-graph,NodeDelegatingFieldAccessorFactory,3,5
spring-data-graph,NodeRelationshipFieldAccessorFactory,1,3
spring-data-graph,NodeToNodesRelationshipFieldAccessor,6,12
spring-data-graph,OneToNRelationshipEntityFieldAccessorFactory,3,17
spring-data-graph,OneToNRelationshipFieldAccessorFactory,4,16
spring-data-graph,PrefixedDynamicProperties,35,5
spring-data-graph,PropertyFieldAccessorFactory,3,9
spring-data-graph,QueryFieldAccessorFactory,2,10
spring-data-graph,ReadOnlyOneToNRelationshipFieldAccessorFactory,4,12
spring-data-graph,RelationshipDelegatingFieldAccessorFactory,3,5
spring-data-graph,RelationshipNodeFieldAccessorFactory,9,15
spring-data-graph,SingleRelationshipFieldAccessorFactory,3,15
spring-data-graph,TransientFieldAccessorFactory,2,7
spring-data-graph,TraversalFieldAccessorFactory,2,12
spring-data-graph,ValidatingNodePropertyFieldAccessorListenerFactory,5,15
spring-data-graph,Neo4JMappingContext,2,10
spring-data-graph,Neo4JPersistentEntityImpl,5,8
spring-data-graph,Neo4JPersistentPropertyImpl,32,21
spring-data-graph,RelationshipInfo,19,9
spring-data-graph,AbstractGraphRepository,47,26
spring-data-graph,DirectGraphRepositoryFactory,4,6
spring-data-graph,GraphMetamodelEntityInformation,8,11
spring-data-graph,GraphRepositoryFactory,10,34
spring-data-graph,GraphRepositoryFactoryBean,4,9
spring-data-graph,NodeGraphRepository,5,10
spring-data-graph,RelationshipGraphRepository,5,8
spring-data-graph,CypherQuery,3,6
spring-data-graph,MatchClause,9,4
spring-data-graph,ProvidedClassPathXmlApplicationContext,2,3
spring-data-graph,SpringPluginInitializer,5,11
spring-data-graph,EntityResultConverter,7,7
spring-data-graph,Neo4jHelper,5,5
spring-data-graph,NodeEntityInstantiator,2,5
spring-data-graph,NodeEntityState,10,10
spring-data-graph,NodeEntityStateFactory,11,17
spring-data-graph,PartialNodeEntityInstantiator,4,8
spring-data-graph,PartialNodeEntityState,18,21
spring-data-graph,ConvertingEntityPath,25,14
spring-data-graph,EntityEvaluator,1,8
