PROJECT,CLASS,COMPLEXITY
spring-data-examples,User,1
spring-data-examples,PersonRepository,2
spring-data-examples,ApplicationConfiguration,4
spring-data-examples,Application,4
spring-data-examples,Customer,1
spring-data-examples,User,8
spring-data-examples,CustomerRepository,2
spring-data-examples,Customer,2
spring-data-examples,Order,2
spring-data-examples,Application,2
spring-data-examples,BusinessObject,2
spring-data-examples,Account,3
spring-data-examples,Customer,3
spring-data-examples,BlogPost,1
spring-data-examples,Actor,1
spring-data-examples,Person,1
spring-data-examples,Order,1
spring-data-examples,Store,0
spring-data-examples,StoreRepository,1
spring-data-examples,UserManagement,3
spring-data-examples,Password,5
spring-data-examples,User,3
spring-data-examples,UserController,4
spring-data-examples,UserRepository,1
spring-retry,BinaryExceptionClassifier,13
spring-retry,BackToBackPatternClassifier,5
spring-retry,ClassifierAdapter,8
spring-retry,ClassifierSupport,2
spring-retry,PatternMatchingClassifier,4
spring-retry,RecoverAnnotationRecoveryHandler,17
spring-retry,ExponentialBackOffPolicy,18
spring-retry,FixedBackOffPolicy,8
spring-retry,BackOffInterruptedException,2
spring-retry,ExponentialRandomBackOffPolicy,2
spring-retry,ThreadWaitSleeper,1
spring-retry,RetryInterceptorBuilder,11
spring-retry,StatefulRetryOperationsInterceptor,16
spring-retry,RetryOperationsInterceptor,11
spring-retry,RetryListenerSupport,3
spring-retry,ExhaustedRetryException,2
spring-retry,RetryException,2
spring-retry,TerminatedRetryException,2
spring-retry,TimeoutRetryPolicy,6
spring-retry,SimpleRetryPolicy,12
spring-retry,SoftReferenceMapRetryContextCache,10
spring-retry,CompositeRetryPolicy,16
spring-retry,AlwaysRetryPolicy,1
spring-retry,ExceptionClassifierRetryPolicy,6
spring-retry,MapRetryContextCache,8
spring-retry,NeverRetryPolicy,4
spring-retry,ExponentialAverageRetryStatistics,15
spring-retry,StatisticsListener,19
spring-retry,RetrySimulation,7
spring-retry,RetryTemplate,70
spring-retry,DefaultRetryState,9
spring-retry,RetrySynchronizationManager,5
aws-maven,SimpleStorageServiceWagon,28
aws-maven,S3Utils,8
aws-maven,AbstractWagon,39
aws-maven,NullProtectingProxyInfoProvider,5
aws-maven,Region,5
aws-maven,StandardSessionListenerSupport,12
aws-maven,StandardTransferListenerSupport,10
aws-maven,TransferProgressFileInputStream,5
aws-maven,TransferProgressFileOutputStream,5
spring-roo,DataOnDemandAnnotationValues,3
spring-roo,Direction,6
spring-roo,Part,42
spring-roo,Order,10
spring-roo,PartTree,49
spring-roo,Subject,52
spring-roo,Type,28
spring-roo,Predicate,40
spring-roo,PartTreeUnitTest,97
spring-roo,JavaBeanAnnotationValues,3
spring-roo,SerializableMetadata,12
spring-roo,SerializableMetadataTest,8
spring-roo,JpaEntityAnnotationValues,16
spring-roo,Identifier,31
spring-roo,JpaOperationsImpl,81
spring-roo,JpaOperationsImplTest,6
spring-roo,RepositoryJpaAnnotationValues,2
spring-roo,RepositoryJpaLayerProvider,7
spring-roo,RepositoryJpaLayerProviderTest,7
spring-roo,RepositoryLayerMethodTest,4
spring-roo,PluralAnnotationValues,2
spring-roo,IntegrationTestAnnotationValues,12
spring-roo,SearchAnnotationValues,2
spring-roo,ApplicationConfigServiceImpl,34
spring-roo,AnnotationMetadataBuilder,32
spring-roo,AnnotatedJavaType,14
spring-roo,BooleanAttributeValue,3
spring-roo,CharAttributeValue,3
spring-roo,LongAttributeValue,3
spring-roo,AnnotatedJavaTypeTest,2
spring-roo,AnnotationMetadataBuilderTest,2
spring-roo,BooleanAttributeValueTest,2
spring-roo,IntegerAttributeValue,3
spring-roo,AbstractMemberHoldingTypeDetails,32
spring-roo,ImportMetadataBuilder,15
spring-roo,AbstractMemberHoldingTypeDetailsBuilderTest,7
spring-roo,DefaultItdTypeDetails,28
spring-roo,DefaultPhysicalTypeMetadata,8
spring-roo,AbstractMemberHoldingTypeDetailsBuilder,67
spring-roo,DefaultPhysicalTypeMetadataTest,3
spring-roo,MemberTypeAdditions,18
spring-roo,MemberTypeAdditionsTest,5
spring-roo,DateField,23
spring-roo,ClasspathOperationsImpl,23
spring-roo,TypeLocationServiceImpl,127
spring-roo,PhysicalTypeIdentifier,7
spring-roo,PhysicalTypeIdentifierNamingUtils,10
spring-roo,PhysicalTypeIdentifierNamingUtilsTest,3
spring-roo,PhysicalTypeIdentifierTest,1
spring-roo,TypeLocationServiceImplTest,3
spring-roo,JavaParserTypeParsingService,55
spring-roo,JavaParserTypeParsingServiceTest,4
spring-roo,NewUpdateCompilationUnitTest,28
spring-roo,UpdateCompilationUnitTest,21
spring-roo,JavaTypeConverter,86
spring-roo,PomConverter,23
spring-roo,JavaPackageConverter,34
spring-roo,PackagingProviderConverterTest,12
spring-roo,EnumConverter,8
spring-roo,EnumConverterTest,4
spring-roo,JavaPackageConverterTest,17
spring-roo,JavaTypeConverterTest,18
spring-roo,PackagingProviderConverter,3
spring-roo,PomConverterTest,15
spring-roo,FileDetails,16
spring-roo,MonitoringRequest,7
spring-roo,MonitoringRequestEditor,14
spring-roo,MonitoringRequestTest,3
spring-roo,DefaultMetadataDependencyRegistry,30
spring-roo,StandardMetadataTimingStatistic,11
spring-roo,StandardMetadataTimingStatisticTest,5
spring-roo,DefaultMetadataService,42
spring-roo,MetadataIdentificationUtils,24
spring-roo,MetadataIdentificationUtilsTest,40
spring-roo,JavaSymbolName,57
spring-roo,JavaType,97
spring-roo,ReservedWords,18
spring-roo,JavaPackage,12
spring-roo,JdkJavaType,9
spring-roo,JavaPackageTest,6
spring-roo,JavaSymbolNameTest,2
spring-roo,JavaTypeTest,13
spring-roo,ReservedWordsTest,10
spring-roo,Parent,6
spring-roo,Pom,78
spring-roo,Module,3
spring-roo,ModuleTest,3
spring-roo,PomTest,14
spring-roo,JarPackaging,5
spring-roo,PomPackaging,3
spring-roo,JarPackagingTest,1
spring-roo,PackagingProviderRegistryTest,7
spring-roo,PomPackagingTest,1
spring-roo,Filter,9
spring-roo,MavenOperationsImpl,55
spring-roo,Property,22
spring-roo,DefaultPathResolvingStrategy,26
spring-roo,Resource,22
spring-roo,Repository,18
spring-roo,MavenPathResolvingStrategy,24
spring-roo,Dependency,56
spring-roo,PomManagementServiceImpl,65
spring-roo,Configuration,10
spring-roo,Execution,19
spring-roo,Plugin,40
spring-roo,MavenUtils,2
spring-roo,RepositoryTest,2
spring-roo,ProjectMetadata,9
spring-roo,Path,14
spring-roo,DependencyType,6
spring-roo,LogicalPath,16
spring-roo,GAV,11
spring-roo,DefaultPathResolvingStrategyTest,7
spring-roo,DependencyTest,15
spring-roo,DependencyTypeTest,4
spring-roo,ExecutionTest,5
spring-roo,GAVTest,7
spring-roo,LogicalPathTest,21
spring-roo,MavenOperationsImplTest,7
spring-roo,MavenPathResolvingStrategyTest,11
spring-roo,MavenUtilsTest,4
spring-roo,PathTest,1
spring-roo,PluginTest,11
spring-roo,ProjectMetadataTest,10
spring-roo,ProjectSettingsServiceImpl,16
spring-roo,SimpleParser,274
spring-roo,AbstractShell,93
spring-roo,Completion,22
spring-roo,MethodTarget,11
spring-roo,CliOptionContext,4
spring-roo,CliOptionContextTest,3
spring-roo,MethodTargetTest,5
spring-roo,SimpleParserTest,6
spring-roo,OSGiUtils,20
spring-roo,XmlUtils,86
spring-roo,DomUtils,36
spring-roo,FileUtils,23
spring-roo,WebXmlUtils,78
spring-roo,AnsiEscapeCode,8
spring-roo,CollectionUtils,13
spring-roo,PairList,9
spring-data-book,Customer,10
spring-data-book,GemfireCustomerRepository,6
spring-data-book,Product,9
spring-data-book,Order,8
spring-data-book,Product,11
