PROJECT,TESTCASE,CLASS,TIME
spring-data-examples,example.springdata.cassandra.basic.BasicUserRepositoryTests,example.springdata.cassandra.basic.BasicUserRepositoryTests,0
spring-data-examples,findsPersonByAge,example.springdata.map.PersonRepositoryIntegrationTest,"0,063"
spring-data-examples,repositoriesAreAssignedToAppropriateStores,example.springdata.multistore.ApplicationConfigurationTest,"0,016"
spring-data-examples,initializesRepositoryWithSampleData,example.springdata.rest.headers.ApplicationIntegrationTests,"0,121"
spring-data-examples,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,example.springdata.cassandra.projection.CustomerRepositoryIntegrationTest,0
spring-data-examples,auditEntityCreation,example.springdata.jpa.auditing.AuditableUserSample,"0,025"
spring-data-examples,createsCustomer,example.springdata.jpa.eclipselink.CustomerRepositoryIntegrationTests,"0,044"
spring-data-examples,supportsProjectionInCombinationWithPagination,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,017"
spring-data-examples,findFirst2ByOrderByLastnameAsc,example.springdata.jpa.simple.SimpleUserRepositoryTests,"0,007"
spring-data-examples,useMultipleRepositories,example.springdata.multistore.ApplicationIntegrationTests,"0,409"
spring-data-examples,findBusinessObjectsForCurrentUserShouldReturnOnlyBusinessObjectsWhereCurrentUserIsOwner,example.springdata.jpa.security.SecurityIntegrationTests,"0,095"
spring-data-examples,savesAccount,example.springdata.jpa.showcase.after.AccountRepositoryIntegrationTest,"0,016"
spring-data-examples,projectsDynamically,example.springdata.jpa.projections.CustomerRepositoryIntegrationTest,"0,008"
spring-data-examples,findAllBlogPostsByPhraseSortByScore,example.springdata.mongodb.textsearch.TextSearchRepositoryTests,"0,038"
spring-data-examples,shouldBeAbleToSaveAndLoadActor,example.springdata.neo4j.ActorRepositoryIntegrationTest,"1,619"
spring-data-examples,storesPerson,example.springdata.map.PersonRepositoryIntegrationTest,"0,003"
spring-data-examples,persistsAndFindsCustomer,example.springdata.jpa.multipleds.order.OrderRepositoryTests,"0,118"
spring-data-examples,invokeDerivedStoredProcedure,example.springdata.jpa.storedprocedures.UserRepositoryIntegrationTests,"0,042"
spring-data-examples,findWithinGeoJsonPolygon,example.springdata.mongodb.geojson.StoreRepositoryTests,"0,06"
spring-data-examples,encryptsPasswordWhenCreatingAUser,example.users.UserManagementIntegrationTests,"0,071"
spring-data-examples,repositoryRejectsUnencryptedPassword,example.users.UserRepositoryIntegrationTests,"0,012"
spring-data-examples,savingUsers,example.springdata.jpa.basics.BasicSample,"0,034"
spring-data-examples,accessXmlElementsOnSimplePayload,example.users.UserControllerClientTests,"0,158"
spring-data-examples,saveAndFindByLastNameAndFindByUserName,example.springdata.jpa.custom.UserRepositoryCustomizationTests,"0,054"
spring-retry,testTypesProvidedInConstructorWithNonDefaultInCause,org.springframework.classify.BinaryExceptionClassifierTests,"0,002"
spring-retry,testNoClassifiers,org.springframework.classify.BackToBackPatternClassifierTests,0
spring-retry,testClassifierAdapterObjectWithNoAnnotation,org.springframework.classify.ClassifierAdapterTests,"0,043"
spring-retry,testClassifyNullIsDefault,org.springframework.classify.ClassifierSupportTests,"0,003"
spring-retry,testCreateFromMap,org.springframework.classify.PatternMatchingClassifierTests,0
spring-retry,specificRecoverMethod,org.springframework.retry.annotation.RecoverAnnotationRecoveryHandlerTests,"0,02"
spring-retry,testMultiBackOff,org.springframework.retry.backoff.ExponentialBackOffPolicyTests,0
spring-retry,testSingleBackOff,org.springframework.retry.backoff.FixedBackOffPolicyTests,0
spring-retry,testExceptionString,org.springframework.retry.BackOffInterruptedExceptionTests,"0,001"
spring-retry,testMultiBackOff,org.springframework.retry.backoff.ExponentialRandomBackOffPolicyTests,"0,333"
spring-retry,testSingleBackOff,org.springframework.retry.backoff.ThreadWaitSleeperTests,"0,049"
spring-retry,testWitCustomRetryPolicyTraverseCause,org.springframework.retry.interceptor.RetryInterceptorBuilderTests,0
spring-retry,testRetryExceptionAfterTooManyAttemptsWithNoRecovery,org.springframework.retry.interceptor.StatefulRetryOperationsInterceptorTests,"0,013"
spring-retry,testIllegalMethodInvocationType,org.springframework.retry.interceptor.RetryOperationsInterceptorTests,"0,021"
spring-retry,testOnError,org.springframework.retry.listener.RetryListenerSupportTests,0
spring-retry,testExceptionString,org.springframework.retry.ExhaustedRetryExceptionTests,0
spring-retry,testExceptionStringThrowable,org.springframework.retry.ExhaustedRetryExceptionTests,0
spring-retry,testExceptionString,org.springframework.retry.TerminatedRetryExceptionTests,0
spring-retry,testRetryCount,org.springframework.retry.policy.TimeoutRetryPolicyTests,"0,001"
spring-retry,testRetryCount,org.springframework.retry.policy.SimpleRetryPolicyTests,0
spring-retry,testPutOverLimit,org.springframework.retry.policy.SoftReferenceMapRetryContextCacheTests,0
spring-retry,testRetryCount,org.springframework.retry.policy.CompositeRetryPolicyTests,"0,002"
spring-retry,testRetryCount,org.springframework.retry.policy.AlwaysRetryPolicyTests,0
spring-retry,testDefaultPolicies,org.springframework.retry.policy.ExceptionClassifierRetryPolicyTests,0
spring-retry,testPutOverLimit,org.springframework.retry.policy.MapRetryContextCacheTests,0
spring-retry,testRetryCount,org.springframework.retry.policy.NeverRetryPolicyTests,0
spring-retry,abortCount,org.springframework.retry.stats.ExponentialAverageRetryStatisticsTests,0
spring-retry,testStatelessRecovery,org.springframework.retry.stats.StatisticsListenerTests,"0,005"
spring-retry,testSimulatorExercisesExponentialBackoff,org.springframework.retry.support.RetrySimulationTests,"0,079"
spring-retry,testWithCustomRetryTemplate,org.springframework.retry.interceptor.RetryInterceptorBuilderTests,0
spring-retry,testDefaultRetryStateObjectClassifierOfQsuperThrowableBoolean,org.springframework.retry.support.DefaultRetryStateTests,"0,001"
spring-retry,testClear,org.springframework.retry.support.RetrySynchronizationManagerTests,0
aws-maven,isRemoteResourceNewerDoesNotExist,org.springframework.build.aws.maven.SimpleStorageServiceWagonIntegrationTest,0
aws-maven,getClientConfigurationNoProxyInfo,org.springframework.build.aws.maven.S3UtilsTest,"0,39"
aws-maven,simpleConstructor,org.springframework.build.aws.maven.AbstractWagonTest,"0,001"
aws-maven,getProxyInfoMatchingProtocol,org.springframework.build.aws.maven.NullProtectingProxyInfoProviderTest,0
aws-maven,invalidLocationConstraint,org.springframework.build.aws.maven.RegionTest,0
aws-maven,fireSessionLoggedIn,org.springframework.build.aws.maven.StandardSessionListenerSupportTest,0
aws-maven,transferListenerManagement,org.springframework.build.aws.maven.StandardTransferListenerSupportTest,"0,001"
aws-maven,readyByteArrayOffsetLength,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,"0,009"
aws-maven,readyByteArrayOffsetLength,org.springframework.build.aws.maven.TransferProgressFileOutputStreamTest,0
spring-roo,testAllAnnotationAttributesHaveAValueField,org.springframework.roo.addon.dod.addon.DataOnDemandAnnotationValuesTest,"0,008"
spring-roo,rejectsMultipleOrderDirections,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,002"
spring-roo,identifiesFindFirstKUsersExplicit,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,031"
spring-roo,parsesOrderBy,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,001"
spring-roo,validateSeveralParameters,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,004"
spring-roo,badSubjectField,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,001"
spring-roo-community-addons,testParameterTypesAreNotNull,org.springframework.roo.addon.layers.repository.mongo.RepositoryMongoLayerMethodTest,0
spring-roo,optionsAfterPredicateStringField,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,"0,008"
spring-roo,parsesContainingCorrectly,org.springframework.roo.addon.finder.addon.parser.PartTreeUnitTest,0
spring-roo,testAllAnnotationAttributesHaveAValueField,org.springframework.roo.addon.javabean.addon.JavaBeanAnnotationValuesTest,"0,002"
spring-roo,testWhenGovernorAlreadyImplementsSerializable,org.springframework.roo.addon.javabean.addon.SerializableMetadataTest,"0,117"
spring-roo,testWhenGovernorAlreadyHasSerialVersionField,org.springframework.roo.addon.javabean.addon.SerializableMetadataTest,"0,002"
