PROJETO,CLASSE,COMPLEXIDADE
Spring-Integration-in-Action,FlightEventTransformer,2
Spring-Integration-in-Action,Flight,15
Spring-Integration-in-Action,EmailHeaderEnricher,4
Spring-Integration-in-Action,NotificationDemo,2
Spring-Integration-in-Action,FlightDelayEvent,2
Spring-Integration-in-Action,SimpleFlightStatusService,2
Spring-Integration-in-Action,FlightDelayEmailGenerator,2
Spring-Integration-in-Action,Profile,3
Spring-Integration-in-Action,FlightStatus,1
Spring-Integration-in-Action,Seat,1
Spring-Integration-in-Action,Airport,1
Spring-Integration-in-Action,Equipment,1
Spring-Integration-in-Action,Crew,1
Spring-Integration-in-Action,FlightStatusEvent,1
Spring-Integration-in-Action,PassengerProfileEnricher,4
Spring-Integration-in-Action,Passenger,5
Spring-Integration-in-Action,Counter,4
Spring-Integration-in-Action,PaintShop,2
Spring-Integration-in-Action,AssemblyLine,2
Spring-Integration-in-Action,PieceKit,2
Spring-Integration-in-Action,AssembledCar,2
Spring-Integration-in-Action,FinishedCar,2
Spring-Integration-in-Action,FinancialAmount,10
Spring-Integration-in-Action,Location,10
Spring-Integration-in-Action,JodaDateTimeAdapter,3
Spring-Integration-in-Action,CancellationRequest,4
Spring-Integration-in-Action,CancellationConfirmation,5
Spring-Integration-in-Action,StubCancellationsService,2
Spring-Integration-in-Action,CancellationRequest.Requestor,2
Spring-Integration-in-Action,CarRental,11
Spring-Integration-in-Action,CarRentalBooking,5
Spring-Integration-in-Action,CarRentalQuote,3
Spring-Integration-in-Action,CarType,4
Spring-Integration-in-Action,CarCriteria,3
Spring-Integration-in-Action,Flight,6
Spring-Integration-in-Action,FlightSchedule,4
Spring-Integration-in-Action,FlightBooking,4
Spring-Integration-in-Action,FlightQuote,3
Spring-Integration-in-Action,FlightSeatClass,4
Spring-Integration-in-Action,FlightCriteria,5
Spring-Integration-in-Action,HotelBooking,9
Spring-Integration-in-Action,HotelQuote,5
Spring-Integration-in-Action,Hotel,1
Spring-Integration-in-Action,RoomType,4
Spring-Integration-in-Action,HotelCriteria,5
Spring-Integration-in-Action,FlightNotification,6
Spring-Integration-in-Action,TripNotification,3
Spring-Integration-in-Action,SmsNotifiable,2
Spring-Integration-in-Action,Priority,1
Spring-Integration-in-Action,CreditCardType,4
Spring-Integration-in-Action,CreditCardPayment,9
Spring-Integration-in-Action,PaymentSettlement,3
Spring-Integration-in-Action,PaymentManager,4
Spring-Integration-in-Action,Invoice,1
Spring-Integration-in-Action,PaypalPayment,1
Spring-Integration-in-Action,Leg,24
Spring-Integration-in-Action,BookedLeg,12
Spring-Integration-in-Action,TripQuoteRequest,4
Spring-Integration-in-Action,BookedTrip,2
Spring-Integration-in-Action,CreateTripCommand,2
Spring-Integration-in-Action,Trip,2
Spring-Integration-in-Action,TripRepository,2
Spring-Integration-in-Action,LegQuoteCommand,10
Spring-Integration-in-Action,User,1
Spring-Integration-in-Action,BookingServiceWithStrongCoupling,3
Spring-Integration-in-Action,BookingServiceWithInjection,3
Spring-Integration-in-Action,BookingReportingService,1
Spring-Integration-in-Action,MealPreference,5
Spring-Integration-in-Action,MealPreferenceRequestTransformer,2
Spring-Integration-in-Action,BookingService,2
Spring-Integration-in-Action,Booking,2
Spring-Integration-in-Action,SimpleBookingDao,2
Spring-Integration-in-Action,Cupboard,3
Spring-Integration-in-Action,Cook,6
Spring-Integration-in-Action,ShoppingListWriter,4
Spring-Integration-in-Action,Cook.new Function() {...},2
Spring-Integration-in-Action,Amount,11
Spring-Integration-in-Action,Product,6
Spring-Integration-in-Action,ShoppingList,5
Spring-Integration-in-Action,AmountConverter,7
Spring-Integration-in-Action,Ingredient,10
Spring-Integration-in-Action,GroceryBag,4
Spring-Integration-in-Action,Amount.Unit,4
Spring-Integration-in-Action,Ingredient.Type,4
Spring-Integration-in-Action,Recipe,10
Spring-Integration-in-Action,Recipe.new Predicate() {...},4
Spring-Integration-in-Action,Meal,4
Spring-Integration-in-Action,Recipe.new Predicate() {...},3
Spring-Integration-in-Action,Vegetable,2
Spring-Integration-in-Action,Meat,2
Spring-Integration-in-Action,Grocery,2
Spring-Integration-in-Action,Butcher,4
Spring-Integration-in-Action,GreenGrocer,4
Spring-Integration-in-Action,Supermarket,4
Spring-Integration-in-Action,TextChanges,3
Spring-Integration-in-Action,EditableText,7
Spring-Integration-in-Action,TextChanges.InsertingTextChange,2
Spring-Integration-in-Action,TextChanges.DeletingTextChange,2
Spring-Integration-in-Action,ChangeFileNameGenerator,2
Spring-Integration-in-Action,RefuseWrittenByThisProcess,2
Spring-Integration-in-Action,TextChanges.AbstractTextChange,2
spring-boot,SampleActiveMQApplication,3
spring-boot,Producer,3
spring-boot,Consumer,2
spring-boot,SampleAntApplication,3
spring-boot,SampleBatchApplication,5
spring-boot,SampleBatchApplication.new Tasklet() {...},2
spring-boot,SampleSecureApplication,3
spring-boot,SampleService,4
spring-boot,SampleTestNGApplication,4
spring-boot,SampleTestNGApplication.new ServletContextListener() {...},3
spring-boot,HelloWorldService,2
spring-boot,SampleController,2
spring-boot,SampleTomcatSslApplication,2
spring-boot,SampleController,2
spring-boot,SampleTraditionalApplication,2
spring-boot,WebConfig,5
spring-boot,SampleUndertowApplication,2
spring-boot,HelloWorldService,2
spring-boot,SampleController.new Callable() {...},2
spring-boot,SampleController,3
spring-boot,SampleUndertowSslApplication,2
spring-boot,HelloWorldService,2
spring-boot,SampleController,2
spring-webflow-issues,FileUploadBean,2
spring-webflow-issues,MyModel,5
spring-webflow-issues,MyType,4
spring-webflow-issues,Label,8
spring-webflow-issues,ReferenceData,11
spring-webflow-issues,Booking,37
spring-webflow-issues,JpaBookingService,16
spring-webflow-issues,Hotel,19
spring-webflow-issues,Amenity,4
spring-webflow-issues,User,9
spring-webflow-issues,SearchCriteria,9
spring-webflow-issues,HotelLazyDataModel,5
spring-webflow-issues,MainEntityController,2
spring-webflow-issues,MyListener,20
spring-webflow-issues,FileUploadBean,2
spring-webflow-issues,ResourceImpl,53
spring-webflow-issues,ResourceImpl.new Object() {...},1
spring-webflow-issues,CustomMvcViewFactoryCreator,2
spring-webflow-issues,ElementBean,5
spring-webflow-issues,HighLevelBean,3
